name,value,group,weight
oname:sim_otype:lst_usecol:conc_tag:general.ph,8.7,oname:sim_otype:lst_usecol:conc_tag:general.ph,0.828889
oname:sim_otype:lst_usecol:conc_tag:majoranion.alkalinity,2.61,oname:sim_otype:lst_usecol:conc_tag:majoranion.alkalinity,0.635601
oname:sim_otype:lst_usecol:conc_tag:majoranion.cl,4.24,oname:sim_otype:lst_usecol:conc_tag:majoranion.cl,7.78756
oname:sim_otype:lst_usecol:conc_tag:majoranion.s(6),3.7,oname:sim_otype:lst_usecol:conc_tag:majoranion.s(6),0.322815
oname:sim_otype:lst_usecol:conc_tag:majorcation.ca,3.74,oname:sim_otype:lst_usecol:conc_tag:majorcation.ca,1.77613
oname:sim_otype:lst_usecol:conc_tag:majorcation.k,4.35,oname:sim_otype:lst_usecol:conc_tag:majorcation.k,10.2825
oname:sim_otype:lst_usecol:conc_tag:majorcation.mg,4.69,oname:sim_otype:lst_usecol:conc_tag:majorcation.mg,3.8143
oname:sim_otype:lst_usecol:conc_tag:majorcation.na,2.61,oname:sim_otype:lst_usecol:conc_tag:majorcation.na,25.9369
oname:sim_otype:lst_usecol:conc_tag:minoranion.f,4.04,oname:sim_otype:lst_usecol:conc_tag:minoranion.f,17.4196
oname:sim_otype:lst_usecol:conc_tag:trace.al,7.53,oname:sim_otype:lst_usecol:conc_tag:trace.al,1.14291
oname:sim_otype:lst_usecol:conc_tag:trace.as,8.88,oname:sim_otype:lst_usecol:conc_tag:trace.as,8.13439
oname:sim_otype:lst_usecol:conc_tag:trace.ba,6.24,oname:sim_otype:lst_usecol:conc_tag:trace.ba,3.87936
oname:sim_otype:lst_usecol:conc_tag:trace.cr,8.11,oname:sim_otype:lst_usecol:conc_tag:trace.cr,3.27385
oname:sim_otype:lst_usecol:conc_tag:trace.fe,5.82,oname:sim_otype:lst_usecol:conc_tag:trace.fe,0.671829
oname:sim_otype:lst_usecol:conc_tag:trace.mn,6.59,oname:sim_otype:lst_usecol:conc_tag:trace.mn,4.70029
oname:sim_otype:lst_usecol:conc_tag:trace.p,7.01,oname:sim_otype:lst_usecol:conc_tag:trace.p,0.779053
oname:sim_otype:lst_usecol:conc_tag:trace.si,3.88,oname:sim_otype:lst_usecol:conc_tag:trace.si,10.0796
oname:sim_otype:lst_usecol:conc_tag:trace.sr,5.79,oname:sim_otype:lst_usecol:conc_tag:trace.sr,2.86276
oname:sim_otype:lst_usecol:conc_tag:trace.u,10.1,oname:sim_otype:lst_usecol:conc_tag:trace.u,3.62879
oname:calcite_otype:arr_i:0_j:0,1e-10,oname:calcite_otype:arr_i:0_j:0,0
oname:dolomite_otype:arr_i:0_j:0,1e-10,oname:dolomite_otype:arr_i:0_j:0,0
oname:gypsum_otype:arr_i:0_j:0,8.829e-05,oname:gypsum_otype:arr_i:0_j:0,0
oname:strontianite_otype:arr_i:0_j:0,1.113e-06,oname:strontianite_otype:arr_i:0_j:0,0
oname:witherite_otype:arr_i:0_j:0,2.852e-07,oname:witherite_otype:arr_i:0_j:0,0
oname:co2g_otype:arr_i:0_j:0,0.00045,oname:co2g_otype:arr_i:0_j:0,0
oname:cax2_otype:arr_i:0_j:0,0.0003923,oname:cax2_otype:arr_i:0_j:0,0
oname:mgx2_otype:arr_i:0_j:0,1.062e-05,oname:mgx2_otype:arr_i:0_j:0,0
oname:kx_otype:arr_i:0_j:0,1e-10,oname:kx_otype:arr_i:0_j:0,0
oname:nax_otype:arr_i:0_j:0,1e-10,oname:nax_otype:arr_i:0_j:0,0
oname:quartz_otype:arr_i:0_j:0,1e-10,oname:quartz_otype:arr_i:0_j:0,0
oname:albite_otype:arr_i:0_j:0,1e-10,oname:albite_otype:arr_i:0_j:0,0
oname:kaolinite_otype:arr_i:0_j:0,1e-10,oname:kaolinite_otype:arr_i:0_j:0,0
oname:muscovite_otype:arr_i:0_j:0,2.22e-05,oname:muscovite_otype:arr_i:0_j:0,0
oname:uraninite_otype:arr_i:0_j:0,1e-10,oname:uraninite_otype:arr_i:0_j:0,0
oname:arsenopyrite_otype:arr_i:0_j:0,1e-10,oname:arsenopyrite_otype:arr_i:0_j:0,0
oname:goethite_otype:arr_i:0_j:0,3.857,oname:goethite_otype:arr_i:0_j:0,0
oname:feoh3_otype:arr_i:0_j:0,1e-10,oname:feoh3_otype:arr_i:0_j:0,0
oname:siderite_otype:arr_i:0_j:0,1e-10,oname:siderite_otype:arr_i:0_j:0,0
oname:mnoh3_otype:arr_i:0_j:0,5.62e-08,oname:mnoh3_otype:arr_i:0_j:0,0
oname:fluorapatite_otype:arr_i:0_j:0,1e-10,oname:fluorapatite_otype:arr_i:0_j:0,0
oname:halite_otype:arr_i:0_j:0,5.119e-06,oname:halite_otype:arr_i:0_j:0,0
oname:illite_otype:arr_i:0_j:0,1e-10,oname:illite_otype:arr_i:0_j:0,0
oname:chromite_otype:arr_i:0_j:0,1.56e-09,oname:chromite_otype:arr_i:0_j:0,0
oname:mix-ratio-sol-upstream_otype:arr_i:0_j:0,0.5,oname:mix-ratio-sol-upstream_otype:arr_i:0_j:0,0
oname:mix-ratio-sol-downstream_otype:arr_i:0_j:0,0.5,oname:mix-ratio-sol-downstream_otype:arr_i:0_j:0,0
