iteration,total_runs,obs_realization,par_realization,oname:sim_otype:lst_usecol:conc_tag:general.ph,oname:sim_otype:lst_usecol:conc_tag:majoranion.alkalinity,oname:sim_otype:lst_usecol:conc_tag:majoranion.cl,oname:sim_otype:lst_usecol:conc_tag:majoranion.s(6),oname:sim_otype:lst_usecol:conc_tag:majorcation.ca,oname:sim_otype:lst_usecol:conc_tag:majorcation.k,oname:sim_otype:lst_usecol:conc_tag:majorcation.mg,oname:sim_otype:lst_usecol:conc_tag:majorcation.na,oname:sim_otype:lst_usecol:conc_tag:minoranion.f,oname:sim_otype:lst_usecol:conc_tag:trace.al,oname:sim_otype:lst_usecol:conc_tag:trace.as,oname:sim_otype:lst_usecol:conc_tag:trace.ba,oname:sim_otype:lst_usecol:conc_tag:trace.cr,oname:sim_otype:lst_usecol:conc_tag:trace.fe,oname:sim_otype:lst_usecol:conc_tag:trace.mn,oname:sim_otype:lst_usecol:conc_tag:trace.p,oname:sim_otype:lst_usecol:conc_tag:trace.si,oname:sim_otype:lst_usecol:conc_tag:trace.sr,oname:sim_otype:lst_usecol:conc_tag:trace.u,oname:calcite_otype:arr_i:0_j:0,oname:dolomite_otype:arr_i:0_j:0,oname:gypsum_otype:arr_i:0_j:0,oname:strontianite_otype:arr_i:0_j:0,oname:witherite_otype:arr_i:0_j:0,oname:co2g_otype:arr_i:0_j:0,oname:cax2_otype:arr_i:0_j:0,oname:mgx2_otype:arr_i:0_j:0,oname:kx_otype:arr_i:0_j:0,oname:nax_otype:arr_i:0_j:0,oname:quartz_otype:arr_i:0_j:0,oname:albite_otype:arr_i:0_j:0,oname:kaolinite_otype:arr_i:0_j:0,oname:muscovite_otype:arr_i:0_j:0,oname:uraninite_otype:arr_i:0_j:0,oname:arsenopyrite_otype:arr_i:0_j:0,oname:goethite_otype:arr_i:0_j:0,oname:feoh3_otype:arr_i:0_j:0,oname:siderite_otype:arr_i:0_j:0,oname:mnoh3_otype:arr_i:0_j:0,oname:fluorapatite_otype:arr_i:0_j:0,oname:halite_otype:arr_i:0_j:0,oname:illite_otype:arr_i:0_j:0,oname:chromite_otype:arr_i:0_j:0,oname:mix-ratio-sol-upstream_otype:arr_i:0_j:0,oname:mix-ratio-sol-downstream_otype:arr_i:0_j:0
0,60,0,0,7.06097,3.75639,0.22236,9.15313,5.39283,0.147516,0.0427396,2.88505,0.0870295,0.15981,0.545304,14.5826,1.79149,0.590354,0.110047,9.92782,0.155254,0.552833,0.0078936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,60,1,1,0.174365,0.054327,17.0593,0.0734277,1.00896,0.0266302,1.90659,1.73572,0.00565463,2.41382e-06,0.125437,0.064955,0.172108,0.00164678,1.22493,3.3056,0.0242466,0.0666021,0.00785457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,60,2,2,8.0533,4.22659,0.0959173,12.2083,8.11301,40.7744,0.0181825,1.33679,0.0279452,22.6807,0.393936,0.194635,13.6106,0.274554,0.939431,10.631,41.4021,10.4209,0.0079246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,60,3,3,5.62427,0.000365049,7.69423,0.0203618,0.647365,0.106809,0.0304658,3.15001,0.0480522,0.162635,0.715378,1.19783,10.3654,11.3957,4.98516,0.437197,0.112033,0.361186,4.08706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,60,4,4,9.17169,92.0252,0.145594,55.7979,11.0528,6.34024,0.0278116,1.98515,0.0502448,16.6837,0.0641893,0.319282,8.05306,0.474933,8.92426,11.1784,8.09213,3.79415,6.95492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,60,5,5,6.56703,0.0175648,9.48139,6.89505e-05,0.457335,0.0944521,0.0156954,2.08714,0.0184673,9.87218,0.330235,0.0603729,0.452822,2.95633,0.0392337,0.32336,0.534011,6.66754,0.00787732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,60,6,6,4.71465,3.09052,0.864369,0.0900931,3.21584,0.0647426,2.37876,1.5412,0.028036,0.141044,0.388594,3.79443,17.5301,4.04194,16.0089,9.00161,0.0664726,0.794701,0.00785067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,60,7,7,5.51118,3.32482,0.114376,0.0560931,3.82624,6.45861,0.0217404,1.56379,0.0364841,16.6941,3.70772,4.08169,0.686872,3.38714,4.23863,9.34808,7.9938,5.51075,0.0078527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,60,8,8,3.27998,0.100718,0.0374818,0.163526,7.33562,0.0259053,0.868169,0.521923,0.00562167,0.170354,0.124053,0.0642025,8.22471,1.8714,23.1428,1.08936,0.0241368,24.5764,0.00786683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,60,9,9,8.59638,4.40508,0.0611213,12.84,9.42063,3.45331,0.0114706,0.869855,0.0136127,15.1566,4.05261,0.115135,0.311322,0.167985,0.0284622,10.9019,4.44273,0.116443,0.239182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
