iteration,num_reals,current_lambda,current_comp_mean_phi,current_comp_std_phi,lambda_scale_fac,lambda,comp_mean_phi,comp_std_phi
1,6,100,81.9468,51.5145,0.75,10,42.1279,23.2471
1,6,100,81.9468,51.5145,1,10,40.7706,21.7213
1,6,100,81.9468,51.5145,1.1,10,39.9967,21.0927
1,6,100,81.9468,51.5145,0.75,100,46.4903,30.8408
1,6,100,81.9468,51.5145,1,100,46.8093,30.5802
1,6,100,81.9468,51.5145,1.1,100,46.7854,30.4189
1,6,100,81.9468,51.5145,0.75,1000,47.3828,31.9928
1,6,100,81.9468,51.5145,1,1000,47.2171,31.8912
1,6,100,81.9468,51.5145,1.1,1000,47.1895,31.9227
2,6,7.5,38.7409,12.5131,0.75,0.75,25.2396,11.8933
2,6,7.5,38.7409,12.5131,1,0.75,24.608,9.64713
2,6,7.5,38.7409,12.5131,1.1,0.75,23.5141,9.87643
2,6,7.5,38.7409,12.5131,0.75,7.5,28.5821,15.0382
2,6,7.5,38.7409,12.5131,1,7.5,28.7073,14.3132
2,6,7.5,38.7409,12.5131,1.1,7.5,28.8634,13.8981
2,6,7.5,38.7409,12.5131,0.75,75,30.4433,15.8088
2,6,7.5,38.7409,12.5131,1,75,30.1374,15.7598
2,6,7.5,38.7409,12.5131,1.1,75,30.0461,15.7517
3,6,0.5625,27.1203,10.2005,0.75,0.05625,23.5737,13.0388
3,6,0.5625,27.1203,10.2005,1,0.05625,22.249,12.166
3,6,0.5625,27.1203,10.2005,1.1,0.05625,21.7756,11.8591
3,6,0.5625,27.1203,10.2005,0.75,0.5625,24.4285,13.4881
3,6,0.5625,27.1203,10.2005,1,0.5625,23.309,12.7127
3,6,0.5625,27.1203,10.2005,1.1,0.5625,22.892,12.3957
3,6,0.5625,27.1203,10.2005,0.75,5.625,27.1009,14.5212
3,6,0.5625,27.1203,10.2005,1,5.625,26.7091,14.0808
3,6,0.5625,27.1203,10.2005,1.1,5.625,26.5508,13.9194
4,6,0.0421875,19.9175,8.17699,0.75,0.00421875,13.3971,4.88887
4,6,0.0421875,19.9175,8.17699,1,0.00421875,13.588,5.48822
4,6,0.0421875,19.9175,8.17699,1.1,0.00421875,13.8779,6.08694
4,6,0.0421875,19.9175,8.17699,0.75,0.0421875,13.3944,4.86772
4,6,0.0421875,19.9175,8.17699,1,0.0421875,13.5675,5.42183
4,6,0.0421875,19.9175,8.17699,1.1,0.0421875,13.7663,5.85001
4,6,0.0421875,19.9175,8.17699,0.75,0.421875,13.4626,4.77343
4,6,0.0421875,19.9175,8.17699,1,0.421875,13.5279,4.98297
4,6,0.0421875,19.9175,8.17699,1.1,0.421875,13.5113,5.18375
5,6,0.0316406,18.3712,8.08288,0.75,0.00316406,16.2624,7.80257
5,6,0.0316406,18.3712,8.08288,1,0.00316406,15.9011,7.71295
5,6,0.0316406,18.3712,8.08288,1.1,0.00316406,15.7583,7.67891
5,6,0.0316406,18.3712,8.08288,0.75,0.0316406,16.2786,7.8057
5,6,0.0316406,18.3712,8.08288,1,0.0316406,15.9227,7.71512
5,6,0.0316406,18.3712,8.08288,1.1,0.0316406,15.7937,7.68962
5,6,0.0316406,18.3712,8.08288,0.75,0.316406,16.4672,7.87024
5,6,0.0316406,18.3712,8.08288,1,0.316406,16.1407,7.77412
5,6,0.0316406,18.3712,8.08288,1.1,0.316406,16.028,7.7471
