realization,al,alkalinity,as,ba,ca,cl,cr,f,fe,k,mg,mn,na,p,ph,s6,si,sr,u,is_base,iteration
0,1.925821324453001e-08,0.00253455270029641,1.310147571941e-09,1.2538020868070002e-06,0.0004517866478211,7.098575632908999e-05,1.3913438580199997e-08,8.896885372799996e-05,9.369508009436009e-06,4.198767662900999e-05,3.0036569985260005e-05,3.692830021584003e-07,0.002758278131404001,1.2925377306759974e-09,1.1463764368897318e-08,0.00030436123896080016,0.00014048960327119994,3.8939868498260015e-06,2.372610247398004e-10,False,3
1,1.8950002429110013e-08,0.0025466937800572107,1.7458994046340002e-09,1.343956968979001e-06,0.0004642963138827,7.266958207923997e-05,8.489860272052008e-09,8.908699058746991e-05,9.593113817203009e-06,4.208282858183e-05,3.0928491037130024e-05,3.182489477957997e-07,0.0027490478692030005,1.2863177591750014e-09,1.1794578177008596e-08,0.00033540610607070014,0.00014014353528289992,3.082729530113998e-06,1.4307107993270023e-10,False,3
10,2.1816338458349996e-08,0.0027243092923171395,1.0947399377750014e-09,4.377056397713002e-07,0.0003366552207388,6.939495761302003e-05,1.0495967915809992e-08,8.908173809390993e-05,7.631696612763e-06,4.208001608290002e-05,2.2083700852549988e-05,2.3047308688770003e-07,0.002746453121726999,1.5652881332529978e-09,9.409546105775155e-09,0.0001154496537999,0.00014016721394830006,6.959026300377001e-06,1.5966257650079997e-10,False,3
11,1.2613762386000011e-08,0.0033608851854567173,2.273953482718002e-09,1.3653737935380012e-06,0.0006907632252264001,8.132194699677003e-05,4.242881021914003e-09,8.884454897422002e-05,1.52067854346e-05,4.1886092470550035e-05,4.609374790215001e-05,2.510822879639001e-07,0.002780102983243001,1.542778784738999e-09,2.260604349719051e-08,0.00036485255034289987,0.0001408465236265,1.5131303461939986e-06,8.403207181919993e-11,False,3
12,1.9553569649010017e-08,0.0025457526530676187,1.0800799353010004e-09,1.2061936078189991e-06,0.0004365564603247,6.227376331725003e-05,1.487324353052e-08,8.889761598235995e-05,9.131502188139e-06,4.1930044733829976e-05,2.8970032123079986e-05,3.084683564176997e-07,0.0027561928833199985,1.3152141385079987e-09,1.1167418284971856e-08,0.0002755692222957001,0.0001406999326747,5.599371701968001e-06,4.240052957455995e-10,False,3
13,1.9337058721459994e-08,0.002524891770884591,1.1413660721409988e-09,8.720708397832995e-07,0.00045031450268080014,6.274972738456007e-05,1.3206294926759998e-08,8.902735620307002e-05,9.334953824622005e-06,4.203507717456e-05,2.992439600643001e-05,3.236181063404002e-07,0.00274467887085,1.2870838325839985e-09,1.1401102057638896e-08,0.00029562734813760004,0.00014031964007059993,2.936798760804999e-06,1.582849807408997e-10,False,3
14,4.521107766981003e-08,0.002082116373946911,1.1261724954079976e-09,4.560146415001996e-07,0.00015385757339640005,9.046583588357005e-05,8.374641660924016e-09,8.947397051074997e-05,1.044946326381e-06,4.2404500613059974e-05,1.0057355297889998e-05,2.3390174801449992e-07,0.0027312487892120004,1.7654405963110034e-09,3.2095631223385232e-09,0.00024308117745760007,0.00013904342607540002,3.958934700122999e-06,8.403126279664996e-11,False,3
15,1.9853049161620002e-08,0.0025148880241721394,1.1813934365719981e-09,9.90606458180701e-07,0.00043013439164000015,7.133477123543003e-05,1.6229588867049988e-08,8.893452362518004e-05,8.988166673538008e-06,4.196010778438004e-05,2.8490635391529976e-05,3.5030136760469993e-07,0.0027618262279639986,1.3032503059979997e-09,1.0909871202859865e-08,0.00024538411012679995,0.00014059165401639998,3.7618837550420005e-06,1.9678006450559988e-10,False,3
16,1.9577231756539982e-08,0.002550415818030361,1.331636258327001e-09,1.2372018315679987e-06,0.0004342801726215001,5.7614404885660014e-05,1.1649073345270008e-08,8.888964805550006e-05,9.101187681391998e-06,4.192369289058999e-05,2.8811812254849978e-05,3.0759219396739996e-07,0.002752224903182,1.3196463144189986e-09,1.1140638986019418e-08,0.00027110757599440005,0.00014072145574610002,2.372439043895998e-06,8.403074766593012e-11,False,3
17,1.9914204474999994e-08,0.0025596808842808802,1.7572653781650017e-09,1.118152148448001e-06,0.00042014370664629995,6.532633409436e-05,1.0432192977650006e-08,8.894419248419008e-05,8.876928013237993e-06,4.1968025319600036e-05,2.7820204544949983e-05,3.6777952093269967e-07,0.0027548398489799985,1.3410976896599997e-09,1.0854488320943053e-08,0.00024204138253650003,0.00014056013825230004,4.309582346188001e-06,8.403085929134997e-11,False,3
