id,param,lower_bound_cn,upper_bound_cn,ult_lbound,ult_ubound,type
0,calcite,1.00E-04,100,1.00E-15,100,m
1,dolomite,1.00E-04,100,1.00E-15,100,m
2,gypsum,1.00E-04,100,1.00E-15,100,m
3,strontianite,1.00E-04,100,1.00E-15,100,m
4,witherite,1.00E-04,100,1.00E-15,100,m
5,co2g,1.00E-04,100,1.00E-15,0.05,m
6,cax2,1.00E-04,100,1.00E-15,100,m
7,mgx2,1.00E-04,100,1.00E-15,100,m
8,kx,1.00E-04,100,1.00E-15,100,m
9,nax,1.00E-04,100,1.00E-15,100,m
10,quartz,1.00E-04,100,1.00E-15,100,m
11,albite,1.00E-04,100,1.00E-15,100,m
12,kaolinite,1.00E-04,100,1.00E-15,100,m
13,muscovite,1.00E-04,100,1.00E-15,100,m
14,uraninite,1.00E-04,100,1.00E-15,100,m
15,arsenopyrite,1.00E-04,100,1.00E-15,100,m
16,goethite,1.00E-04,100,1.00E-15,100,m
17,feoh3,1.00E-04,100,1.00E-15,100,m
18,siderite,1.00E-04,100,1.00E-15,100,m
19,mnoh3,1.00E-04,100,1.00E-15,100,m
20,fluorapatite,1.00E-04,100,1.00E-15,100,m
21,halite,1.00E-04,100,1.00E-15,100,m
22,illite,1.00E-04,100,1.00E-15,100,m
23,chromite,1.00E-04,100,1.00E-15,100,m
24,mix-ratio-sol-upstream,1.00E-02,2,1.00E-02,1,m
25,mix-ratio-sol-downstream,1.00E-02,2,1.00E-02,1,m
