obsnme,obsval,weight,obgnme,i,j,oname,otype,tag,usecol
oname:sim_otype:lst_usecol:conc_tag:general.ph,8.7,1.0,oname:sim_otype:lst_usecol:conc_tag:general.ph,,,sim,lst,general.ph,conc
oname:sim_otype:lst_usecol:conc_tag:majoranion.alkalinity,2.61,1.0,oname:sim_otype:lst_usecol:conc_tag:majoranion.alkalinity,,,sim,lst,majoranion.alkalinity,conc
oname:sim_otype:lst_usecol:conc_tag:majoranion.cl,4.24,1.0,oname:sim_otype:lst_usecol:conc_tag:majoranion.cl,,,sim,lst,majoranion.cl,conc
oname:sim_otype:lst_usecol:conc_tag:majoranion.s(6),3.7,1.0,oname:sim_otype:lst_usecol:conc_tag:majoranion.s(6),,,sim,lst,majoranion.s(6),conc
oname:sim_otype:lst_usecol:conc_tag:majorcation.ca,3.74,1.0,oname:sim_otype:lst_usecol:conc_tag:majorcation.ca,,,sim,lst,majorcation.ca,conc
oname:sim_otype:lst_usecol:conc_tag:majorcation.k,4.35,1.0,oname:sim_otype:lst_usecol:conc_tag:majorcation.k,,,sim,lst,majorcation.k,conc
oname:sim_otype:lst_usecol:conc_tag:majorcation.mg,4.69,1.0,oname:sim_otype:lst_usecol:conc_tag:majorcation.mg,,,sim,lst,majorcation.mg,conc
oname:sim_otype:lst_usecol:conc_tag:majorcation.na,2.61,1.0,oname:sim_otype:lst_usecol:conc_tag:majorcation.na,,,sim,lst,majorcation.na,conc
oname:sim_otype:lst_usecol:conc_tag:minoranion.f,4.04,1.0,oname:sim_otype:lst_usecol:conc_tag:minoranion.f,,,sim,lst,minoranion.f,conc
oname:sim_otype:lst_usecol:conc_tag:trace.al,7.53,1.0,oname:sim_otype:lst_usecol:conc_tag:trace.al,,,sim,lst,trace.al,conc
oname:sim_otype:lst_usecol:conc_tag:trace.as,8.88,1.0,oname:sim_otype:lst_usecol:conc_tag:trace.as,,,sim,lst,trace.as,conc
oname:sim_otype:lst_usecol:conc_tag:trace.ba,6.24,1.0,oname:sim_otype:lst_usecol:conc_tag:trace.ba,,,sim,lst,trace.ba,conc
oname:sim_otype:lst_usecol:conc_tag:trace.cr,8.11,1.0,oname:sim_otype:lst_usecol:conc_tag:trace.cr,,,sim,lst,trace.cr,conc
oname:sim_otype:lst_usecol:conc_tag:trace.fe,5.82,1.0,oname:sim_otype:lst_usecol:conc_tag:trace.fe,,,sim,lst,trace.fe,conc
