parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom,inst,pname,pstyle,ptype
pname:calcite_cn_inst:0_ptype:cn_pstyle:m,none,factor,1.0,0.0001,100.0,calcite_cn,1.0,0.0,1,0,calcite,m,cn
pname:dolomite_cn_inst:0_ptype:cn_pstyle:m,none,factor,1.0,0.0001,100.0,dolomite_cn,1.0,0.0,1,0,dolomite,m,cn
pname:gypsum_cn_inst:0_ptype:cn_pstyle:m,none,factor,1.0,0.0001,100.0,gypsum_cn,1.0,0.0,1,0,gypsum,m,cn
pname:strontianite_cn_inst:0_ptype:cn_pstyle:m,none,factor,1.0,0.0001,100.0,strontianite_cn,1.0,0.0,1,0,strontianite,m,cn
pname:witherite_cn_inst:0_ptype:cn_pstyle:m,none,factor,1.0,0.0001,100.0,witherite_cn,1.0,0.0,1,0,witherite,m,cn
pname:co2g_cn_inst:0_ptype:cn_pstyle:m,none,factor,1.0,0.0001,100.0,co2g_cn,1.0,0.0,1,0,co2g,m,cn
pname:cax2_cn_inst:0_ptype:cn_pstyle:m,none,factor,1.0,0.0001,100.0,cax2_cn,1.0,0.0,1,0,cax2,m,cn
pname:mgx2_cn_inst:0_ptype:cn_pstyle:m,none,factor,1.0,0.0001,100.0,mgx2_cn,1.0,0.0,1,0,mgx2,m,cn
pname:kx_cn_inst:0_ptype:cn_pstyle:m,none,factor,1.0,0.0001,100.0,kx_cn,1.0,0.0,1,0,kx,m,cn
pname:nax_cn_inst:0_ptype:cn_pstyle:m,none,factor,1.0,0.0001,100.0,nax_cn,1.0,0.0,1,0,nax,m,cn
pname:quartz_cn_inst:0_ptype:cn_pstyle:m,none,factor,1.0,0.0001,100.0,quartz_cn,1.0,0.0,1,0,quartz,m,cn
pname:albite_cn_inst:0_ptype:cn_pstyle:m,none,factor,1.0,0.0001,100.0,albite_cn,1.0,0.0,1,0,albite,m,cn
pname:kaolinite_cn_inst:0_ptype:cn_pstyle:m,none,factor,1.0,0.0001,100.0,kaolinite_cn,1.0,0.0,1,0,kaolinite,m,cn
pname:muscovite_cn_inst:0_ptype:cn_pstyle:m,none,factor,1.0,0.0001,100.0,muscovite_cn,1.0,0.0,1,0,muscovite,m,cn
pname:uraninite_cn_inst:0_ptype:cn_pstyle:m,none,factor,1.0,0.0001,100.0,uraninite_cn,1.0,0.0,1,0,uraninite,m,cn
pname:arsenopyrite_cn_inst:0_ptype:cn_pstyle:m,none,factor,1.0,0.0001,100.0,arsenopyrite_cn,1.0,0.0,1,0,arsenopyrite,m,cn
pname:goethite_cn_inst:0_ptype:cn_pstyle:m,none,factor,1.0,0.0001,100.0,goethite_cn,1.0,0.0,1,0,goethite,m,cn
pname:feoh3_cn_inst:0_ptype:cn_pstyle:m,none,factor,1.0,0.0001,100.0,feoh3_cn,1.0,0.0,1,0,feoh3,m,cn
pname:siderite_cn_inst:0_ptype:cn_pstyle:m,none,factor,1.0,0.0001,100.0,siderite_cn,1.0,0.0,1,0,siderite,m,cn
pname:mnoh3_cn_inst:0_ptype:cn_pstyle:m,none,factor,1.0,0.0001,100.0,mnoh3_cn,1.0,0.0,1,0,mnoh3,m,cn
pname:fluorapatite_cn_inst:0_ptype:cn_pstyle:m,none,factor,1.0,0.0001,100.0,fluorapatite_cn,1.0,0.0,1,0,fluorapatite,m,cn
pname:halite_cn_inst:0_ptype:cn_pstyle:m,none,factor,1.0,0.0001,100.0,halite_cn,1.0,0.0,1,0,halite,m,cn
pname:illite_cn_inst:0_ptype:cn_pstyle:m,none,factor,1.0,0.0001,100.0,illite_cn,1.0,0.0,1,0,illite,m,cn
pname:chromite_cn_inst:0_ptype:cn_pstyle:m,none,factor,1.0,0.0001,100.0,chromite_cn,1.0,0.0,1,0,chromite,m,cn
pname:mix-ratio-sol-upstream_cn_inst:0_ptype:cn_pstyle:m,none,factor,1.0,0.01,2.0,mix-ratio-sol-upstream_cn,1.0,0.0,1,0,mix-ratio-sol-upstream,m,cn
pname:mix-ratio-sol-downstream_cn_inst:0_ptype:cn_pstyle:m,none,factor,1.0,0.01,2.0,mix-ratio-sol-downstream_cn,1.0,0.0,1,0,mix-ratio-sol-downstream,m,cn
