pargpnme,inctyp,derinc,derinclb,forcen,derincmul,dermthd,splitthresh,splitreldiff,splitaction
calcite_cn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
dolomite_cn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
mix-ratio-sol-upstream_cn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
chromite_cn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
illite_cn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
halite_cn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
fluorapatite_cn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
mnoh3_cn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
siderite_cn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
feoh3_cn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
goethite_cn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
arsenopyrite_cn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
uraninite_cn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
muscovite_cn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
kaolinite_cn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
albite_cn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
quartz_cn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
nax_cn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
kx_cn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
mgx2_cn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
cax2_cn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
co2g_cn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
witherite_cn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
strontianite_cn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
gypsum_cn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
mix-ratio-sol-downstream_cn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
