obs,conc_unit_2,conc_raw,conc,obstype,group,tag
pH,-,2.00E-09,8.70E+00,waterquality,general,general.pH
Na,molpkgw,0.002457612,2.61E+00,waterquality,majorcation,majorcation.Na
Ca,molpkgw,1.83E-04,3.74E+00,waterquality,majorcation,majorcation.Ca
Mg,molpkgw,2.04E-05,4.69E+00,waterquality,majorcation,majorcation.Mg
K,molpkgw,4.45E-05,4.35E+00,waterquality,majorcation,majorcation.K
Alkalinity,molpkgw,0.002437855,2.61E+00,waterquality,majoranion,majoranion.Alkalinity
S(6),molpkgw,2.01E-04,3.70E+00,waterquality,majoranion,majoranion.S(6)
Cl,molpkgw,5.73E-05,4.24E+00,waterquality,majoranion,majoranion.Cl
F,molpkgw,9.21E-05,4.04E+00,waterquality,minoranion,minoranion.F
Mn,molpkgw,2.57E-07,6.59E+00,waterquality,trace,trace.Mn
Ba,molpkgw,5.77E-07,6.24E+00,waterquality,trace,trace.Ba
Sr,molpkgw,1.61E-06,5.79E+00,waterquality,trace,trace.Sr
Fe,molpkgw,1.53E-06,5.82E+00,waterquality,trace,trace.Fe
Al,molpkgw,2.96E-08,7.53E+00,waterquality,trace,trace.Al
Si,molpkgw,1.31E-04,3.88E+00,waterquality,trace,trace.Si
As,molpkgw,1.33E-09,8.88E+00,waterquality,trace,trace.As
U,molpkgw,8.40E-11,1.01E+01,waterquality,trace,trace.U
Cr,molpkgw,7.69E-09,8.11E+00,waterquality,trace,trace.Cr
P,molpkgw,9.69E-08,7.01E+00,waterquality,trace,trace.P
