obs,conc_unit_2,conc_raw,conc,obstype,group,tag,weight
pH,-,2.00E-09,8.70E+00,waterquality,general,general.pH,1.00E+01
Na,molpkgw,0.002457612,2.61E+00,waterquality,majorcation,majorcation.Na,1.00E+01
Ca,molpkgw,1.83E-04,3.74E+00,waterquality,majorcation,majorcation.Ca,1.00E+01
Mg,molpkgw,2.04E-05,4.69E+00,waterquality,majorcation,majorcation.Mg,1.00E+01
K,molpkgw,4.45E-05,4.35E+00,waterquality,majorcation,majorcation.K,1.00E+01
Alkalinity,molpkgw,0.002437855,2.61E+00,waterquality,majoranion,majoranion.Alkalinity,1.00E+01
S(6),molpkgw,2.01E-04,3.70E+00,waterquality,majoranion,majoranion.S(6),1.00E+01
Cl,molpkgw,5.73E-05,4.24E+00,waterquality,majoranion,majoranion.Cl,1.00E+01
F,molpkgw,9.21E-05,4.04E+00,waterquality,minoranion,minoranion.F,5.00E+00
Mn,molpkgw,2.57E-07,6.59E+00,waterquality,trace,trace.Mn,1.00E+00
Ba,molpkgw,5.77E-07,6.24E+00,waterquality,trace,trace.Ba,1.00E+00
Sr,molpkgw,1.61E-06,5.79E+00,waterquality,trace,trace.Sr,1.00E+00
Fe,molpkgw,1.53E-06,5.82E+00,waterquality,trace,trace.Fe,1.00E+01
Al,molpkgw,2.96E-08,7.53E+00,waterquality,trace,trace.Al,1.00E+01
Si,molpkgw,1.31E-04,3.88E+00,waterquality,trace,trace.Si,5.00E+00
As,molpkgw,1.33E-09,8.88E+00,waterquality,trace,trace.As,1.00E+00
U,molpkgw,8.40E-11,1.01E+01,waterquality,trace,trace.U,1.00E+00
Cr,molpkgw,7.69E-09,8.11E+00,waterquality,trace,trace.Cr,1.00E+00
P,molpkgw,9.69E-08,7.01E+00,waterquality,trace,trace.P,1.00E+00
